kept: 8830971, deleted: 9640569 
kept: 10417262, deleted: 11313629 
kept: 225835, deleted: 279024 1323669 
kept: 10988657, deleted: 11113608 
kept: 286710, deleted: 992221 
kept: 890163, deleted: 890241 
kept: 209026, deleted: 892261 
kept: 285177, deleted: 355076 1236057 
kept: 992527, deleted: 992529 
kept: 992516, deleted: 992520 992517 992518 992519 992521 
kept: 3720773, deleted: 4593050 
kept: 3876931, deleted: 5261435 
kept: 10525834, deleted: 10616886 
kept: 8925520, deleted: 9340947 
kept: 10232537, deleted: 11078072 
kept: 10334003, deleted: 10980288 
